id	filename	md5	size	state
ad5aed2e-769b-4c7b-8860-ad61e731b4aa	8ec5a017-d4e6-401f-b057-85583a8e891c.FPKM.txt.gz	5ec66d3cc9a457277b7f327523655288	513574	live
08e13d75-d069-4af3-9fa2-d39f6e5d8795	7e22f0df-ed49-46ca-ad24-0876cb27cf73.FPKM.txt.gz	e6cd980377ea4d2cc62b49983274dc84	509914	live
0fef5a2d-2542-4b3b-83ee-659b7ba1396d	13857c66-b6d2-41f7-86c3-fa031e7db8f6.FPKM.txt.gz	ea7dd0b084ea44bf0bef62a2f7313eb0	504743	live
ce92809e-2abd-4b81-a115-dce6aca7d1c0	cdeabe84-4e20-4777-b944-44eeb8b0818c.FPKM.txt.gz	3fb2c6613086ebe3c623d5052927061e	528414	live
1154733b-3f46-40ac-86b1-6425f130cffc	155e2812-b284-457e-9cca-0291f307fb73.FPKM.txt.gz	1945b8de8f2bbcadccbf43c691bd80de	520454	live
95b6f225-8672-4fa6-9dd5-93bbe37c56ab	f8746c35-b4bc-46a5-9ceb-ab5bd686161c.FPKM.txt.gz	2ec5f4272b15ddc810b9b718176456e6	513911	live
a0b165d6-7a59-4921-83b1-bf0f5e772d84	6de5c53f-653d-42e1-a5cc-2d0de7f59111.FPKM.txt.gz	79d9ac9b1a0962a5c977a928b77c40d7	512865	live
5c2ac1f5-a722-4f1d-ba77-6464194ecc51	e94e64de-aeb8-47da-a090-d8551ab8cba1.FPKM.txt.gz	fa58d66cdac19617c22d4a3df3abbd7e	521858	live
64866b04-3389-40cd-93f5-3b8978b77eee	e24289c6-7bf1-41b8-a30a-47ff254ef336.FPKM.txt.gz	f871421ffb735dd38b893501d9d976ed	513404	live
39dc6be8-5122-4d13-83fe-1f1bb19fc523	b8d1605e-74fd-4940-9206-2cd7f572e32f.FPKM.txt.gz	2ec54294efd0c181828c82189fef9f17	509347	live
5cc4ee6e-cb8a-446d-85cd-9d8186f56500	5d355699-e6e6-4506-8454-be80d53bf264.FPKM.txt.gz	b4c2589d547293a10db53decb0cdaa40	503705	live
b91e42dc-1b4c-4df9-b0cb-435dc635c7b9	cbc71a28-a3f3-4f77-9939-92abce731b1d.FPKM.txt.gz	e8429389c1af0284e39862fe369cf21b	534454	live
b0f6d3cc-a6da-4c9d-9c8a-2680b1a13d51	d397607b-1655-47a8-91d4-eb6271da53d9.FPKM.txt.gz	a34046b83713a9fe309da00520bb1c47	500990	live
f9f37951-e65f-405b-a0e9-1d705eb8a34d	32f823b8-50ab-463e-961b-0e1b6aad0cde.FPKM.txt.gz	99ecc50dddc968ff4c5f78883463fa46	498601	live
47f01bc8-e4cb-4343-b914-cea3f7711410	ae623b24-501b-4d3f-adff-745d95205a5c.FPKM.txt.gz	f7b1aadabd03383d74895d995a7feaaf	502250	live
9c7d2879-925f-43ab-bd5e-9e998a00bbfb	ac524bc1-106f-4fe9-9a60-daac252c8d37.FPKM.txt.gz	f48500fef2fec2628808b48e8720bf2e	497159	live
6829261e-d434-4efa-8ca4-cea96d648938	14490713-0374-457d-9cb9-bbb1dba3594d.FPKM.txt.gz	aa13dd42df15cfa2b2f099b8961c6184	500757	live
84aeb91d-522e-4c6e-b175-487b7fa5d36b	9b984d8f-dacc-4fff-895a-586fea6543e8.FPKM.txt.gz	34dc17f7903bc653728a4cde24f49a34	505926	live
75bcc0b2-acab-4f49-8b4b-1d241c4c5644	0c6494a3-bece-4524-b188-b27e30ab1c7b.FPKM.txt.gz	df9e017730af3998c6c2be2f28efe3bc	535371	live
42f4de8c-d9ea-4431-b904-400e258a52a8	96fd0f54-7ac3-4e83-8144-12e1e7ffdee8.FPKM.txt.gz	97ee68f4ad89a0ff70a15f8a6c0fd9f6	507176	live
b93081f9-765d-4a2e-8ab4-a18272aabe51	82b01e39-9a1e-450b-90cb-7131ae0960d2.FPKM.txt.gz	57fc6117939620b6d4c32fa6383178a8	495165	live
23aa553d-1de5-4cc4-98a9-7c5c26b836a7	fd092560-69e3-49b1-9f20-cd3431fd5289.FPKM.txt.gz	cc5e07834d9970f1e4600b7b16ece31d	515684	live
8ca6713b-b947-4a05-b82b-803bd6ca9217	a1936577-b5da-465b-929a-37dde53f28ad.FPKM.txt.gz	ed1b8497131546da53a950f70785ac06	501718	live
9c58f0cd-5426-4dc2-ba09-67f108ae6494	9e6d9051-8527-451c-af83-978a7300488f.FPKM.txt.gz	89977b6fd9134e4837851b08223c1897	514809	live
67f9d8ce-ff76-4691-b220-3e3624909c30	2a39baf7-6139-4145-af0d-6329ed77e694.FPKM.txt.gz	4aca14f8bff08da61b2ce419689b0d47	509379	live
7076cb1f-7a8d-45ce-85d4-952b0b2d7d5d	801d2c51-8afe-4336-9091-57e605ff45ee.FPKM.txt.gz	07539ba49dd89ac1e4d5825b6fba4fc1	537686	live
a8c5c096-763d-4908-b6f2-898e5ded30cb	59adb2f8-471e-4e6c-a4a7-3c1943d1ea02.FPKM.txt.gz	964a11bb7ce21076da396a100e1d0b5d	517046	live
47c800f5-9f32-4f1f-a404-39026a76c40f	90987e6e-84c8-4c60-ba60-6fae2fabe597.FPKM.txt.gz	3a8a9734df6954d059d8d89843af30c4	510271	live
ccb913cd-d2d8-46f1-a70d-faca48ae4af5	2e39cac1-1efe-4271-a46d-36e9cf438903.FPKM.txt.gz	83ef73115d2841b764f9c721533009b1	510762	live
f83b8f62-c137-4c24-a2e5-648994d43a69	1315d3ca-da06-40e7-b112-bb6dec37bee2.FPKM.txt.gz	00d131f48a6392614a5991791834d5f4	489852	live
d6bdd292-fe98-4c73-91c8-046f056a1f59	d728d3c9-c5fb-4112-8239-4bb211d6770c.FPKM.txt.gz	fb29c0edd67c24b942bf3a7b7192e97a	486747	live
a784121f-46ac-4ec6-aaa4-6f79db69452e	75aae4bd-4647-4f07-8d9f-df45cc1733a9.FPKM.txt.gz	db78a342970d021c78531a908f9d0952	532822	live
6485f2b5-8a1d-4572-b287-bd79dc82ebfe	ddbfd59d-428b-4ad9-9f0f-5c8f2ba83fb3.FPKM.txt.gz	86055c457d1bd9a64616c44d1cab7de4	509462	live
d84ff439-badf-40c0-8405-d3276a10b7f0	11399f33-d231-4ce6-9b3f-319a3b16c000.FPKM.txt.gz	6d629204d4325735b97f9ddd074204de	508252	live
213fd6e3-9462-492f-8917-56967be8fc9d	ae6bc5cc-3d10-4cf1-a58c-ba51f2764aa9.FPKM.txt.gz	9484f2660740428705955a2fdd18aa7a	503113	live
b6646c4c-55b1-42e8-9056-c1e541d3aa27	69d4e5d4-0d59-4720-8501-4a9020caa2d3.FPKM.txt.gz	bc446cb33a35a9f127566e2ac0232621	502350	live
38feb06e-2188-4944-ba1a-ded58d6420b1	df9bb532-a62a-422e-8530-1efe34954935.FPKM.txt.gz	1646999ba9238056a42d6b3c1123df6b	533215	live
7374bfc7-e1e8-46c0-a35f-b1c9e9cb30c9	804e0d5d-3a94-443b-aa21-647e4c85475d.FPKM.txt.gz	75a4422a3f14b007d3615307a9346163	522192	live
4ee4369b-8075-44e6-8282-54bf2de0289a	d7cdce64-4830-44bd-bac2-8f985a6a82ea.FPKM.txt.gz	0c9a880a84afeb6f8f3265f42584504a	525567	live
a9291ca0-b847-43e5-8982-91db2560d06c	444e3512-7c59-4fe9-a195-05ea1ac0c9c0.FPKM.txt.gz	d0b767e83601063d4fa7c5923909eff3	511982	live
189d3f6e-2554-459d-8fd3-3c42afdf1462	11b9370e-d1fc-4dcc-a109-a0f264434bb7.FPKM.txt.gz	9882f156b4965443d8831f584a00175f	523475	live
b79c0a13-b7cb-41e1-bad3-4cf91576c906	cdfc4923-77f9-4097-86bd-049e170f0e7c.FPKM.txt.gz	2570c8c229cb3fa3b0bac5da6704a421	514468	live
9bf8e5e7-9f86-4ebb-978e-9e08bbe566c9	5986be36-abb8-4947-bd63-60d09d793821.FPKM.txt.gz	44cecb9127ed91128a6aa507f88d50d4	505238	live
23cbc626-27ea-4a0b-8001-afdcdee00b1c	4d1d5980-606e-4796-9791-0373ef627b52.FPKM.txt.gz	8310b98ca78588e85f6a7cd7a09d86bc	535143	live
c028a95a-3225-47ee-aa9c-02f83807fb82	d8db22cf-377f-4a0b-b7a7-9d49073ad5b3.FPKM.txt.gz	dcfcfff544090956bc9ad2f139031e46	521884	live
61321232-4dc1-4a7d-b54b-1f346d51befd	21a8c3f3-7132-4ebd-bcb1-4af83d968039.FPKM.txt.gz	3b3bd9314fe27206b212b1a243dfa09a	512105	live
8125db3c-046f-410d-bcd9-acb81c5f0819	269166c0-3519-4747-bb74-a98f673b06bc.FPKM.txt.gz	e5c9eff75f376fd542b7bad768665f4c	515419	live
e3266aaa-6cdc-4373-981d-0cd3f9f16bf0	76b80383-6cc2-412e-a471-169e1a09ad1f.FPKM.txt.gz	77df98b241df16c94c86a5048ef62421	505007	live
bd045bec-a568-42ed-9c8c-34f74d78dbac	9210d7e9-520b-4064-bdd7-f5fa263ab7ea.FPKM.txt.gz	0f22fde19c61123596fbb30f8c3a6a45	518918	live
b9604975-1aff-4c27-a838-d7804b1f219d	882579bb-701e-415d-b45a-991289771cec.FPKM.txt.gz	84e75e49664f5dc1f6169b387dcb1311	534515	live
820c272c-1b7e-4a13-906c-1e88ed219f8b	16c25e30-6e3d-401c-90c3-053af280fbb2.FPKM.txt.gz	df7716e500550e72745b22ac566bb094	504051	live
