Gene stable ID	Transcript stable ID
ENSG00000074266	ENST00000351625
ENSG00000032219	ENST00000355431
ENSG00000142182	ENST00000270172
ENSG00000142182	ENST00000628202
ENSG00000132600	ENST00000449359
ENSG00000132600	ENST00000339507
ENSG00000132600	ENST00000441236
ENSG00000082701	ENST00000316626
ENSG00000124092	ENST00000423479
ENSG00000124092	ENST00000608263
ENSG00000124092	ENST00000609232
ENSG00000124092	ENST00000429804
ENSG00000124092	ENST00000243914
ENSG00000124092	ENST00000371196
ENSG00000124092	ENST00000608440
ENSG00000124092	ENST00000422109
ENSG00000124092	ENST00000502686
ENSG00000124092	ENST00000433949
ENSG00000124092	ENST00000432255
ENSG00000124092	ENST00000539382
ENSG00000124092	ENST00000608903
ENSG00000124092	ENST00000422869
ENSG00000206510	ENST00000383628
ENSG00000206510	ENST00000552987
ENSG00000206510	ENST00000548769
ENSG00000167244	ENST00000381395
ENSG00000167244	ENST00000381406
ENSG00000167244	ENST00000416167
ENSG00000167244	ENST00000434045
ENSG00000167244	ENST00000381392
ENSG00000167244	ENST00000381389
ENSG00000167244	ENST00000418738
ENSG00000234669	ENST00000446005
ENSG00000234669	ENST00000553137
ENSG00000234669	ENST00000547911
ENSG00000054267	ENST00000366603
ENSG00000012048	ENST00000471181
ENSG00000171824	ENST00000376936
ENSG00000101596	ENST00000320876
ENSG00000005007	ENST00000599848
ENSG00000173812	ENST00000469257
ENSG00000012048	ENST00000357654
ENSG00000012048	ENST00000352993
ENSG00000012048	ENST00000468300
ENSG00000012048	ENST00000493795
ENSG00000012048	ENST00000461221
ENSG00000012048	ENST00000491747
ENSG00000012048	ENST00000461798
ENSG00000119720	ENST00000354366
ENSG00000149187	ENST00000358597
ENSG00000149187	ENST00000395292
ENSG00000149187	ENST00000310513
ENSG00000149187	ENST00000361904
ENSG00000149187	ENST00000532048
ENSG00000149187	ENST00000395290
ENSG00000134644	ENST00000257075
ENSG00000134644	ENST00000426105
ENSG00000134644	ENST00000440538
ENSG00000134644	ENST00000373742
ENSG00000204120	ENST00000373563
ENSG00000204120	ENST00000409547
ENSG00000204120	ENST00000409196
ENSG00000204120	ENST00000409451
ENSG00000100697	ENST00000343455
ENSG00000100697	ENST00000526495
ENSG00000100697	ENST00000527414
ENSG00000100697	ENST00000556045
ENSG00000100697	ENST00000541352
ENSG00000100697	ENST00000393063
ENSG00000180228	ENST00000325748
ENSG00000180228	ENST00000424699
ENSG00000180228	ENST00000487082
ENSG00000180228	ENST00000432031
ENSG00000180228	ENST00000448279
ENSG00000180228	ENST00000457633
ENSG00000164362	ENST00000310581
ENSG00000164362	ENST00000460137
