id	filename	md5	size	state
6d3ed72d-1484-4184-8504-c6404a63ae4d	149735c0-c26e-4983-8053-1582c706f9ed.FPKM.txt.gz	bb2a003a8a00ee67c448b525570eff44	518524	live
a56b7ec8-3342-4762-9243-f972520aef13	4cf63dd3-13a6-4f2a-a560-70f793d9b525.FPKM.txt.gz	b82d914ec877099ab970784016806955	522849	live
5a2f8179-4091-4e25-b167-c0aa3288adaf	6484ba80-6c7a-4a1d-a09c-4ecce57f971c.FPKM.txt.gz	edfa3d76f3ed7639d40166a829e4ff4b	525582	live
2e5cb373-972f-47df-9ee5-e1304963a24f	38f141c2-4d24-45a7-bc7f-ecdba7082f72.FPKM.txt.gz	6d815382bfac09f44ab198501c7c2cba	489897	live
862c5222-b6bc-4843-8468-d77029d56463	3472dc3a-cd09-4d60-b5b3-6f4537e868ee.FPKM.txt.gz	f0dedf62cea11d7e23416e46018172d3	490879	live
c9eed7f5-ab5f-45c7-96a5-66768d269159	992df1bb-d4c6-4bb2-82c0-f93af6f212d2.FPKM.txt.gz	2442d7b518ea123ac58683fc263dc1a2	502387	live
ace4e1a7-6782-4ef6-af01-0205446a7289	7836a97d-960a-40ea-a755-621cde382876.FPKM.txt.gz	8124060c9c7668444fc24abc7ef57c02	548832	live
7ca1cf93-646d-4011-9e83-37a37d962845	42085a56-f0b6-4f59-9e73-d63d087e5fb4.FPKM.txt.gz	5f7c84046c7316590b797228a880526e	525421	live
36b7dcd2-5bdd-4082-8f1e-b200fb45fc0e	02f80b77-c836-4b00-a9c3-efd760d093b1.FPKM.txt.gz	f0ab3a80524b46c517c0cbc1937267ee	535597	live
7a094b21-32bf-428c-98a0-4bf23548727a	f9a769fa-23ed-4e39-9acd-306e9afcdc7d.FPKM.txt.gz	d5e14f79d3e07c44e9142f0136d627df	526772	live
2d8aa373-4f10-46d8-9333-31f6483176df	7b2c7499-15c0-4926-a12c-4561df34954b.FPKM.txt.gz	a00049d8b771d97451cd82337a62bdec	522021	live
587739c8-9df6-4864-89eb-8d85b4a5eef5	31831b63-194f-4031-bb8f-ac74e4d5ea16.FPKM.txt.gz	19035d80d9dd9d722742aa8b04d4b09a	514526	live
9a71f760-cd77-4d3b-860d-3650b7de522c	7c52bc71-1caf-4d51-aec7-a1e08f9c31d2.FPKM.txt.gz	33d727168b060b759a7e654a18d354b2	515344	live
0acabfa5-ce19-4883-818d-e7236f0e9c9c	7ffecc62-22a9-43fc-827f-151ebb62bc81.FPKM.txt.gz	ed7166c993759efef3a2c5325eac782d	530523	live
2ef3258a-c0ff-4020-94c0-dfb34b191f9c	5935af99-2969-4f1e-9ced-a359d86f3485.FPKM.txt.gz	9a99e3d0a6011d25db72389b57057449	531020	live
33dbbcd9-3486-4ffe-bc0a-ef56c51dd510	c14ab711-0c5e-4d6e-830c-5fbeb8dd2bdc.FPKM.txt.gz	b4928c5b1f9f06210a69cdf32108d3aa	521967	live
8779a332-34b9-40b2-925a-07ffacc9d445	8ca718d6-8075-4e98-aaca-bc467dabc482.FPKM.txt.gz	f1ba6799a70aede40effeb1d331e27d7	533264	live
8859b22d-e508-4742-b02d-6a69d417b721	b70dffed-c7d6-4121-b0f6-fa08fb7638dd.FPKM.txt.gz	93a9218c0a7ea434d4608ec43b92d74e	493021	live
f8f36693-6c5e-4180-b4e3-e0c04b1fc688	ff74d05f-7996-4a5f-bbe3-3e2ad2d2d0bc.FPKM.txt.gz	7ebc0b6b1d346c5910f15f4a904762ba	530185	live
4b3c2ce2-8545-4096-b0dc-fc2c100630cb	2603ada6-3900-4527-84d4-451d40886b08.FPKM.txt.gz	7f97bf492032dcd594107b73cc0a5aab	523590	live
6c0a91c4-5df1-432d-a7f9-a79358094055	5079781b-14aa-4ff7-8ab8-b251e34a8eba.FPKM.txt.gz	459fa7615c420cb3ff35c07d84783f1a	535244	live
55a526b4-79bd-4b05-8644-352de0364301	f1228d7b-6703-45b5-8675-93601a3e17c0.FPKM.txt.gz	f0e43f0f01794a2b47a8429f5e72374d	507730	live
9e1fb0a5-04b9-4947-b834-53a88e275589	5f8132cf-0430-467a-8e6c-982b390b35f4.FPKM.txt.gz	db576e97948e3ff411f86d1f5ac1d705	502979	live
edc8401a-c497-4594-ac3e-73f321355be8	2d197eef-91aa-442e-aecd-6fc7c699f802.FPKM.txt.gz	7428364d579afb57c37683f3b7a9ac63	509846	live
262675bc-529f-4c7d-9906-93bad4a2be27	73bd0051-b4b9-4156-85cc-e550c32080f1.FPKM.txt.gz	82f131dcf80e90435df3d4e36f56bf76	536311	live
df24ff50-dc6d-4751-82bd-7c32df1f522e	16b0362f-9205-49dc-9e9e-8ec7a0ffcf88.FPKM.txt.gz	480dc26417f0999fdbdb858ec58bfa7c	515960	live
8063078e-0ace-41af-8259-88af0d79fe4a	cfd06ff6-87b9-4ad3-8ebf-3bb6299449a5.FPKM.txt.gz	8ea8a9eb9121eb6729e1c53e21b64242	513909	live
10e4786d-3b6b-4d52-9c9c-c0cb29156b81	ac5bbb54-b09d-430e-bba4-65ba9caf82f4.FPKM.txt.gz	90d34a2dbfd3840e83ff864534c8b73f	499511	live
df0fd9ea-6cac-42ff-ac63-db27542b493f	2dec4bff-88e9-4017-b60c-f52ae0931964.FPKM.txt.gz	b221205464e88fab6e11fbb369e104e3	508003	live
66617052-0563-4f5c-9c1b-5514c17923e0	a219720c-41fa-4aae-87e2-42287a13622e.FPKM.txt.gz	5a2fe86c449fa4f926b1597c7466ffcc	506691	live
2cc213d7-2d60-48a9-91c4-b012c283af1f	3d9262fe-d823-4bfe-8d49-d64744de8850.FPKM.txt.gz	0737737a54b5a4291066c13acdacdadb	505988	live
76f7d3d2-3014-45cf-a56f-6e519464576d	c4b33860-c481-47cd-a6e2-9f587c007389.FPKM.txt.gz	b4a18117436102e4b89f51f5f8721211	532526	live
f838454d-e296-4c60-a9ab-253d5f284132	7811acca-6d83-4d63-917e-fbfa33b25878.FPKM.txt.gz	a0cf30ab9a51fb6ec5703b78d71da2a2	519578	live
8ee5c9dd-a16c-40b9-af2f-88e17899098f	dee2e6fe-85ad-4ff3-9743-8054630dd06f.FPKM.txt.gz	f7dd48a6f5a62cfff0d96da439b2a248	544379	live
d583ed09-3126-48b4-a1a0-d924449bf465	61b868da-01da-4d25-b48a-ee5ec18ebc87.FPKM.txt.gz	053122d10d1463411a3a6d798258f730	490195	live
ab9d142a-287e-467d-b552-22e1691678ae	e9cf91c3-db89-4855-9d40-d66f9fb49225.FPKM.txt.gz	7fa4215c4ceaf51c76ff933a569f7145	505298	live
