id	filename	md5	size	state
6081bf48-1627-4329-a88d-5b07288f0d76	eb70ccf2-f854-4d99-92a3-f02ba2b3c770.FPKM.txt.gz	890ecb2c90f6852be44dc08b8a4e2789	513726	live
dd0a27b6-7d19-4ff9-a10f-2c1e11d187e1	61c7c0b0-d730-4d67-b1b7-c267124d4e1b.FPKM.txt.gz	271e1835ab3beecee6a976f83c018779	513339	live
456c043e-7437-482b-84bc-b324c67ecb28	d842b357-df64-4896-89c7-aa62999b1933.FPKM.txt.gz	3a53c51d2993d6c3bcc514a0a214ac5e	526832	live
2c96d392-0c43-4fd6-8f90-82ed83164c37	d20be26f-6289-4b94-8724-e63e3f0bca1f.FPKM.txt.gz	7f08e6d70aa1c5d1bab81493ee9e66aa	528371	live
2cef98a3-15fc-4757-8489-f5c4333be478	130e22b9-5b91-437a-88be-aefaced5bb5e.FPKM.txt.gz	480fdab4d036682f2fb92bd1c418b6da	523048	live
7f22857c-37f1-4bfd-92dd-1f4f7fe0382c	92803010-f63c-4b2a-aa02-9914e66dd0c0.FPKM.txt.gz	0ad4dc8de0622e7873dbf797ac3d3806	549330	live
012e5632-e932-4b24-be77-34eac2162e07	92de83d1-ba60-413c-8d21-d066505fe306.FPKM.txt.gz	6169c34f6c1685c6ac5cfd251c9aafb4	523949	live
eaa24812-7836-4c2e-91a2-d4d0db8ad86c	9a7c9e75-314d-49ab-9e31-5cb1fb1ebb38.FPKM.txt.gz	ac894b67b0de21405c6a9f7ba936772c	516068	live
a15b496c-8c52-43fc-8080-9747eed5ee60	fc5bd55f-cdb1-4c96-a91a-513b43e6a99a.FPKM.txt.gz	5a9c6daf5803029d36dccc0a71368d0c	539070	live
2fbb8751-b31d-4e66-903f-39e1ef88f657	7f6e7f9e-1ec3-4109-b4fd-1786aad9942f.FPKM.txt.gz	ba455e0e0df272e24589b854917d00ce	536564	live
e52997e6-a535-42df-a489-d484d824ee6a	bf4b7a95-244c-44c1-b5bb-49bc3b6fba68.FPKM.txt.gz	1cff70192e77dc088182a335c7ca07e8	507033	live
1e53db50-c7fa-4917-b914-1d7ee0e463d0	6134c694-922d-4559-8f55-e03cc58d66dc.FPKM.txt.gz	12525d7d2b37dc23b2cfa07929595c2e	514828	live
7e79f82f-4ef7-4574-8b3f-ada8abf755d2	a0b1fe2b-28f6-4e9d-bc06-67be4b47e523.FPKM.txt.gz	28438a47427a3fe8d67d6cc1c40aaa7c	521003	live
2e0b8417-b468-4bcb-8b4a-22de159fa66c	40365cdf-f04d-4214-a753-e15c64d57b7f.FPKM.txt.gz	d7f1bb8e6ba2f0f6b415e25dd9e81a74	534254	live
101cccd5-a5f3-4b50-b8cb-49c8038dabd6	091dc352-d8e6-484e-989b-4bc571051130.FPKM.txt.gz	0b802b906f9367b6f8f2f056d88b08b4	554911	live
a29e8490-6917-4d8c-8ffe-bf9fae0b4f9f	567d381b-f753-4975-bbc6-c8daa4ff4530.FPKM.txt.gz	d5ee072bf0c1e42e15133dfd106170bc	515545	live
f9d6c289-3f2c-47ab-9156-2209600da21b	fde994b4-f247-4bc9-81f2-dd9d39008c31.FPKM.txt.gz	1ce32228f6ecdd507185836870e176b4	521199	live
fa5bef71-83a6-415d-a2ca-d86f2f138c42	58f96018-2cf5-4e6b-bec0-b8c79da62bce.FPKM.txt.gz	11bdac69f07e1ef3f29aa3549ba4d122	549854	live
448e9f95-ecc7-4b32-aded-a6ffa3122e9d	9cb91836-3ed3-47e9-8f86-eb15937fd537.FPKM.txt.gz	47b4deb6735a5ea82f943c84f19b0dac	469257	live
45bb8ede-421a-492e-888e-7c8b6387acc8	39edcb3c-c9f4-4b00-8b16-17f1909fef15.FPKM.txt.gz	ae397309712c4d8c171d7ac44f66265c	571404	live
3ea57b1c-c5e2-44fb-8d90-85bf5bb5f0d3	149c3888-04c2-4701-9217-746e05c7b346.FPKM.txt.gz	fe834957ef007f2d7044b6b809b409ba	536171	live
40b3172c-3a7b-44d5-a312-b925773064f7	fe3596cb-7fed-41b9-ae30-caebcf717e6e.FPKM.txt.gz	49e3f594dc8544c38245db4f7b67ca96	530128	live
5e8a4ba9-6182-4c6b-92f1-215b3915620b	d73728cb-58d3-4d95-a13a-37baa003609f.FPKM.txt.gz	9bb150589d7930e747b287b0c298e9bb	518326	live
20312e78-4b1a-4f90-ab7f-3b2a03c9baf6	b7567499-0820-49d6-9c72-7148d6628172.FPKM.txt.gz	95c24bae9b2b10db30468e648e8d7c2d	522763	live
03d6f833-1354-4d77-941a-969afa2eae87	10a93ff8-e2cd-4f1d-acb8-ae4ccd5fecdb.FPKM.txt.gz	c5598ca8cda08b62b510b9f54792ac6a	500554	live
b2304a7d-1b61-4eda-8742-5aab68f6b3f7	d99d874c-b050-466d-9475-48d8af5ad972.FPKM.txt.gz	739bea78bff3a9a9e499e48f2b563d92	585836	live
017bc53d-88a5-4b8e-887c-b464a93d980e	bfd8c6e2-15cc-48ae-a4a3-722ab3527fb9.FPKM.txt.gz	fea058f9a9ffb8cc39ebd2df00d22600	513977	live
5b21a1d4-6f9e-47be-bf85-44f4e224ab59	891d5512-0e8d-4dac-9f76-71aeae3937a6.FPKM.txt.gz	d4941b1d92c6ebbd51b8aa5689fbfda4	505567	live
383cf01b-adf3-4005-ac88-0914e599520c	d7e7ad52-ecde-4744-b4e7-28dea4d186da.FPKM.txt.gz	eec2bbfab981346d229080b2801a4cf9	526022	live
2cbb9dfe-644a-466c-8a1c-374dce62e783	cf8cc0b6-be04-4f59-9baa-7270aa0fba53.FPKM.txt.gz	f2b185147c4c34e9155bb0dddcb65441	556223	live
ee30913a-7f87-4ad5-94a2-048ec3ed6923	906d9c60-fdb6-469d-a42e-6bcab0a696f0.FPKM.txt.gz	4bb23bd624f1877466b27878ba21dc5d	514299	live
abf1fc7e-4ae6-4bf8-ab6a-cda045cf5869	543ed507-fee0-40b6-9a99-e59310620d63.FPKM.txt.gz	8029954900a58a15c6ae96b17a6344db	549328	live
08f7ab05-ca1c-4081-8c8d-685b907ba51f	71a24f55-17a7-4396-91fa-e6c7e03df518.FPKM.txt.gz	885554e667075cbdd5f9cd376622a93b	512991	live
ca1efc45-1778-4b27-9eb8-674a28be3ce3	596e3dbd-9928-4800-8026-6d1cfb9f5a57.FPKM.txt.gz	953791541014aef057b449939388f33e	506172	live
3e246fde-fa73-4215-83e7-d18d704aeb7e	bf6ab33e-d822-470a-8c4d-9f7a8781eb90.FPKM.txt.gz	a06c11d789e91f9788664b7316c0d444	515126	live
718435ee-b0ff-4e5c-849d-04370fcde586	1f578919-3fbb-4491-8381-46b097f5339c.FPKM.txt.gz	43cb3fc2e56c7ce0a5bf20cef742c556	527335	live
d3410eca-a9bf-4f8e-873e-8eaa113daea1	3d118af2-5f3e-4b03-90bc-ec9df6792742.FPKM.txt.gz	ad2cc9d5ae0423b65cd8add75893fa9e	567638	live
323ebcc2-dbbc-4a81-bd20-38e14d9206f3	996fa724-fa06-4f69-abd7-910a1a74e276.FPKM.txt.gz	e9b98cbcccb882c238a9f139995464ba	507391	live
1aedd2e7-4594-452c-86b1-1a5b22518ba9	21df2113-117e-429d-bf2f-5812800add68.FPKM.txt.gz	94cea058d83098ef787caa9686145530	550946	live
ba37f7a0-fcac-4e42-8fd5-6e4eadc365de	7939e5e9-8920-4db9-9ab1-a34432830f52.FPKM.txt.gz	c4e74e999a75cbed9aa37a45d911288f	541008	live
